acronym
AAA
ACA
ACAd
ACAd1
ACAd2/3
ACAd5
ACAd6a
ACAd6b
ACAv
ACAv1
ACAv2/3
ACAv5
ACAv6a
ACAv6b
ACB
ACBc
ACBsh
ACVII
AD
ADP
AHN
AI
AId
AId1
AId2/3
AId5
AId6a
AId6b
AIp
AIp1
AIp2/3
AIp5
AIp6a
AIp6b
AIv
AIv1
AIv2/3
AIv5
AIv6a
AIv6b
AM
AMB
AMBd
AMBv
AMd
AMv
AN
ANcr1
ANcr2
AOB
AOBgl
AOBmi
AON
AP
APN
APr
AQ
ARH
ASO
AT
ATN
AUD
AUDd
AUDd1
AUDd2/3
AUDd4
AUDd5
AUDd6a
AUDd6b
AUDp
AUDp1
AUDp2/3
AUDp4
AUDp5
AUDp6a
AUDp6b
AUDpo
AUDpo1
AUDpo2/3
AUDpo4
AUDpo5
AUDpo6a
AUDpo6b
AUDv
AUDv1
AUDv2/3
AUDv4
AUDv5
AUDv6a
AUDv6b
AV
AVP
AVPV
Acs5
B
BA
BAC
BLA
BLAa
BLAp
BLAv
BMA
BMAa
BMAp
BS
BST
CA
CA1
CA2
CA3
CB
CBN
CBX
CEA
CEAc
CEAl
CEAm
CENT
CENT2
CENT3
CH
CL
CLA
CLI
CM
CN
CNU
COA
COAa
COAp
COApl
COApm
COPY
CP
CS
CTX
CTXpl
CTXsp
CU
CUL
"CUL4, 5"
CUN
DCN
DCO
DEC
DG
DG-mo
DG-po
DG-sg
DMH
DMX
DN
DORpm
DORsm
DP
DR
DT
DTN
ECT
ECT1
ECT2/3
ECT5
ECT6a
ECT6b
ECU
ENT
ENTl
ENTl1
ENTl2
ENTl3
ENTl5
ENTl6a
ENTm
ENTm1
ENTm2
ENTm3
ENTm5
ENTm6
EP
EPI
EPd
EPv
EW
Eth
FC
FF
FL
FN
FOTU
FRP
FRP5
FRP6a
FRP6b
FS
GENd
GENv
GPe
GPi
GR
GRN
GU
GU1
GU2/3
GU4
GU5
GU6a
GU6b
HATA
HB
HEM
HIP
HPF
HY
I5
IA
IAD
IAM
IB
IC
ICB
ICc
ICd
ICe
IF
IG
IGL
III
IIIn
IIn
ILA
ILA1
ILA2/3
ILA5
ILA6a
ILA6b
ILM
IMD
INC
IO
IP
IPA
IPC
IPDL
IPDM
IPI
IPL
IPN
IPR
IPRL
IRN
ISN
IV
IVn
In
IntG
Isocortex
KF
LA
LAT
LAV
LC
LD
LDT
LGd
LGd-co
LGd-ip
LGd-sh
LGv
LH
LHA
LIN
LING
LM
LP
LPO
LRN
LRNm
LRNp
LS
